count,threshold,runtime,attack,reboot;signatures,aborts;reboots
8,1,120,60,30;65225,0;no
8,2,120,60,30;47520,0;no
8,3,120,60,30;40434,0;no
8,4,120,60,30;36155,0;no
8,5,120,60,30;30985,0;no
8,6,120,60,30;28055,0;no
8,7,120,60,30;30074,0;no
8,8,120,60,30;26805,0;no
12,1,120,60,30;45946,0;no
12,2,120,60,30;35938,0;no
12,4,120,60,30;29099,0;no
12,6,120,60,30;24967,0;no
12,8,120,60,30;20341,0;no
12,10,120,60,30;18010,0;no
12,11,120,60,30;15725,2;no
12,12,120,60,30;18336,0;no
18,1,120,60,30;28043,0;no
18,2,120,60,30;23478,0;no
18,3,120,60,30;22444,0;no
18,6,120,60,30;17309,0;no
18,9,120,60,30;14239,0;no
18,12,120,60,30;11561,0;no
18,16,120,60,30;10237,0;no
18,17,120,60,30;10620,0;no
18,18,120,60,30;11467,0;no
